timestamp,time,accX,accY,accZ,gyrX,gyrY,gyrZ
1692514112643,69.188,7.31505,0.45195,9.33195,0.8611625,-2.1547625,1.256475
1692514112672,69.217,10.486951,1.24395,2.97,0.7090875,-2.2488124,0.99962497
1692514112699,69.244,9.89805,1.0639501,3.6810002,0.652575,-2.3695376,0.69135
1692514112733,69.278,6.0750003,4.6810503,-0.45900002,0.633325,-2.9238,-0.352
1692514112760,69.305,3.6670501,5.7510004,-1.06305,0.57928747,-3.2058125,-1.2483625
1692514112789,69.334,0.12705001,4.72905,4.81005,-0.3361875,-2.1494,-23.281912
1692514112817,69.362,-1.69305,4.5760503,9.526051,-0.922075,-1.6226375,-39.284023
1692514112846,69.391,-0.97800004,6.6780005,10.825951,-0.7689,-1.1680624,-31.638887
1692514112875,69.42,-6.0589504,3.9870002,24.04095,-0.5396875,-0.43945,-20.799763
1692514112904,69.449,-3.072,-5.8620005,38.773952,-0.5707625,0.0760375,-17.416437
1692514112936,69.481,-1.605,-5.02605,27.319952,-1.145925,0.957825,-12.916475
1692514112973,69.518,-1.023,-4.7970004,16.377,-2.5645125,0.9227625,-10.351825
1692514112999,69.544,-1.26195,-3.7410002,7.0339503,-2.787675,0.730125,-9.168225
1692514113023,69.568,-0.89400005,-2.9509501,3.9079502,-2.6596625,0.58575,-8.057225
1692514113052,69.597,-0.46500003,-4.0020003,0.62595004,-2.06525,0.5229125,-6.5598497
1692514113080,69.625,-0.13695,-6.8550005,-0.43095002,-1.8156875,0.5666375,-6.419875
1692514113110,69.655,-1.72395,-8.578951,-1.608,-1.6621,0.6347,-6.139925
1692514113133,69.678,-3.015,-7.8030005,-3.4150503,-1.70115,0.7462125,-6.13965
1692514113167,69.712,-2.4469502,-6.1320004,-3.966,-1.26445,0.8757375,-6.709862
1692514113197,69.742,-1.6890001,-5.5459504,-2.0340002,-3.3534875,2.3621125,-5.8859625
1692514113229,69.774,-3.04605,-3.6910503,1.7560501,-4.2152,2.9286125,-4.840825
1692514113257,69.802,-6.9760504,-1.1890501,8.06295,-4.9806623,3.12235,-2.76045
1692514113285,69.83,-6.98295,-4.1530504,18.64995,-4.443175,2.7742,-1.71655
1692514113311,69.856,-6.4759502,-7.9249506,28.480951,-3.1454499,2.227225,-0.4544375
1692514113342,69.887,-1.1719501,-9.699,35.03295,0.60225,0.2655125,2.0301876
1692514113372,69.917,1.26195,-1.3570501,21.135,2.671625,-2.4055624,2.2955625
1692514113400,69.945,1.1920501,-0.531,18.966002,2.62185,-3.0811,2.118325
1692514113428,69.973,1.3290001,0.076050006,16.125,2.3106875,-3.3319,2.21595
1692514113457,70.002,2.76705,3.798,6.0220504,1.738,-3.288725,3.22575
1692514113485,70.03,5.0149503,3.6070502,0.0139500005,1.544125,-3.1308749,3.832125
1692514113514,70.059,5.7190504,3.15405,0.56205004,1.3508,-2.37105,5.098225
1692514113543,70.088,6.1519504,2.841,2.3760002,1.3743125,-1.9727125,5.91085
1692514113573,70.118,5.6800504,4.4230504,1.5310501,1.1397375,-1.789425,7.7290125
1692514113602,70.147,4.9170003,4.5739503,2.5510502,1.1836,-1.7939625,8.864625
1692514113633,70.178,0.85995007,3.45795,14.440051,3.0988374,-2.69995,9.33295
1692514113660,70.205,1.33605,1.797,23.131052,3.6183126,-2.606175,8.095862
1692514113690,70.235,0.89595,2.5200002,21.757051,3.4417624,-2.055075,6.236725
1692514113716,70.261,-1.3300501,0.27,28.645952,2.4268749,-1.103025,3.497725
1692514113746,70.291,0.28995,-4.8130503,28.459951,0.148775,0.507925,-0.5819
1692514113776,70.321,0.97695005,-3.8530502,16.99905,-1.1807125,1.0170875,-2.681525
1692514113804,70.349,-0.33405003,-3.4320002,7.08195,-1.6289625,1.0016875,-3.39405
1692514113834,70.379,0.028950002,-4.31295,1.1050501,-1.9756,0.75405,-4.5500126
1692514113859,70.404,-1.4250001,-4.78695,-1.4959501,-1.9699625,0.6802125,-5.22445
1692514113887,70.432,-2.53095,-5.7780004,-4.5550504,-1.98605,0.6903875,-6.1089873
