@ HyperIMU - ianovir
@ Date:Tue Aug 15 09:40:12 GMT+03:00 2023, Sampling Rate:100ms

bma4xy_accelerometer.x,bma4xy_accelerometer.y,bma4xy_accelerometer.z,oem_pseudo_gyro.x,oem_pseudo_gyro.y,oem_pseudo_gyro.z
-0.43905002,-0.54495,9.916051,-0.0826375,-0.077,0.1799875
-0.441,-0.39900002,9.574051,-0.014025,-0.0694375,0.109037496
-0.25695002,-0.423,9.969001,-0.0055,-0.0669625,-0.0218625
-0.19305001,-0.50505,9.966001,0.0155375,-0.067925,-0.125675
-0.18300001,-0.58395004,10.053,0.0056375,-0.0653125,0.056649998
-0.40605003,-0.40905002,9.804001,-0.0254375,-0.023924999,0.0994125
-0.40605003,-0.31995,9.76095,0.03025,0.0545875,-0.0012375
-0.38595003,-0.30600002,9.63105,0.0279125,0.0242,-0.0581625
-0.42705002,-0.31605002,9.80595,0.006325,-0.009625,0.017875
-0.30705002,-0.35205,9.87495,0.0232375,0.011,0.2014375
-0.36705002,-0.25800002,9.66195,0.0196625,0.01595,-0.0086624995
-0.35505003,-0.30795002,9.780001,0.0320375,0.0204875,-0.0083875
-0.372,-0.32805002,9.871051,0.0075625,-0.0075625,0.1172875
-0.31695002,-0.33495003,9.847051,0.0048125,-0.0089375,0.016224999
-0.42705002,-0.26505002,9.83205,2.75E-4,-0.0061875,-0.0512875
-0.432,-0.23400001,9.81105,0.023924999,0.0191125,-0.029975
-0.39600003,-0.21300001,9.78705,0.014162499,0.0017875,-0.0320375
-0.34605002,-0.23895001,9.84,0.0237875,-0.003575,-0.1414875
-0.23595001,-0.201,9.703051,0.0070125,-0.007425,0.016224999
-0.54705,0.069000006,9.49005,0.0116875,0.014575,-0.0191125
-0.33900002,-0.246,9.379951,0.126775,0.0785125,-0.4285875
-0.56100005,-0.49500003,8.04405,-0.014025,0.0331375,-0.0946
-0.62805,0.16905001,5.88,-0.147675,0.022275,0.0523875
0.043050002,-0.13095,5.1979504,0.0402875,0.14245,-0.321475
0.36900002,-1.9030501,10.182,-0.1340625,-0.0070125,0.1727
-0.28095,-1.1509501,12.74505,-0.3744125,-0.1747625,1.385725
-0.56100005,-0.78000003,13.102051,-0.086075,-0.11935,0.6257625
-1.0330501,0.29895002,12.657001,0.0664125,-0.1205875,0.40425
-0.29295,0.507,13.212001,0.390775,0.087725,-0.3447125
-1.3770001,0.102000006,15.003,0.1975875,-0.1387375,0.04675
-1.8780001,-0.30795002,13.782001,0.0231,0.144375,0.374
-1.2720001,-0.079050004,12.07005,-0.0889625,0.2024,0.0792
-1.179,-0.43095002,10.44705,0.02585,0.2233,-0.3777125
-0.33900002,-0.21000001,7.2400503,-0.116875,0.0554125,-0.5187875
-0.12795001,-0.69105005,5.48505,0.002475,0.0158125,-0.533225
0.31905,-1.4430001,6.9670506,-0.3223,-0.15235,0.2358125
0.49305,-0.46395,9.492001,-0.2941125,-0.3496625,0.358875
0.51495004,-1.08405,10.5379505,0.2795375,-0.3031875,-0.1815
-0.20895001,-0.009000001,9.625951,-0.0584375,-0.23045,0.35901248
-0.33600003,-0.70305,10.206,0.1458875,0.13915,-0.1442375
-0.64695,-0.43800002,9.753,-0.0155375,0.0856625,-0.0455125
0.039,-0.79005,9.813001,-0.042075,0.0358875,0.31239998
-0.06795,-0.71805006,10.053,-0.068475,-0.09185,0.31033748
-0.109050006,-0.675,10.053,-0.0218625,0.033,-0.026675
-0.74100006,-0.43305,10.375951,0.043449998,0.039875,-0.106975
0.036000002,-0.99300003,9.957001,-0.0083875,0.0853875,0.0732875
-0.17805001,-0.55005,9.17205,-0.19965,-0.1890625,0.39105
-0.44595003,-0.35205,9.753,0.0427625,-0.0484,0.045925
-0.50895,-0.21000001,9.772051,0.0515625,0.073699996,-0.0020625
-0.24000001,-0.00405,9.6,0.1777875,0.122375,-0.4123625
-0.45600003,-0.15495001,9.37005,0.088,0.01925,-0.1727
-0.597,-0.16995001,9.693001,-0.0061875,-0.00825,-0.1260875
-0.39105,-0.37605003,9.922951,0.0495,0.0468875,-0.0540375
-0.42195,-0.37800002,9.79605,-0.0297,-0.0438625,0.3460875
-0.40995002,-0.10695001,9.38895,-0.014575,0.0015125,-0.0732875
-0.21195,-0.22905001,8.86305,0.0207625,-0.0094875,-0.0653125
-0.079950005,-0.483,8.134951,0.1172875,0.00715,-0.1491875
-0.59895,-0.11895001,6.4450502,-0.0721875,-0.0331375,0.0356125
-0.15405001,-0.76605004,5.931,0.026124999,0.1799875,-0.5732375
-1.3219501,0.282,7.518,-0.20487499,0.0518375,0.4217125
-0.11805001,-0.064050004,9.540001,0.1601875,0.1192125,0.2842125
-0.13995,-0.12195001,12.619051,0.1533125,-0.1728375,0.21367499
-0.42705002,0.40395,13.003951,0.013612499,-0.131175,0.5966125
-0.00795,0.32205,16.12305,0.12979999,-0.1076625,0.083875
-0.61605,-0.75600004,17.587952,0.0699875,-0.09845,-0.029424999
-1.4110501,-0.79200006,12.469951,-0.236225,0.1139875,0.4277625
-0.58005005,-1.59105,12.640051,-0.323125,0.02475,0.1227875
-0.10605001,-1.6900501,10.96695,-0.3359125,-0.0301125,-0.0165
-1.3920001,0.14505,4.2049503,-0.1956625,-0.0746625,-0.4444
-0.025050001,-1.05795,3.69705,0.1978625,0.4442625,-1.2604625
-0.16605,-0.77805007,5.9350505,-0.4615875,-0.2542375,0.0446875
0.762,-3.1519501,11.326051,0.0334125,0.050049998,-0.3194125
-0.030000001,-0.16005,9.79395,-0.307175,-0.549175,0.9158875
0.606,-1.62495,10.72305,0.4037,0.142175,-0.874775
-0.11100001,-1.23,10.099951,-0.1535875,-0.25905,0.4811125
-0.05595,-1.17495,10.053,0.0077,0.0191125,0.1747625
-0.46095002,-0.98805004,9.6,-0.0094875,0.06765,-0.0187
-0.23805001,-0.87105006,9.295951,0.122099996,0.20047499,-0.1815
-0.23805001,-1.02705,9.7890005,0.089375,0.0650375,0.053075
-0.087000005,-0.82305,9.61005,0.029424999,0.01595,0.03795
-0.06105,-0.90195006,10.182,0.0565125,-0.0441375,0.0518375
-0.09,-0.651,9.66495,0.0372625,-0.0176,-0.2704625
-0.14895001,-0.75405,9.67695,0.0548625,-0.024475,5.5E-4
-0.11400001,-0.69600004,9.61905,0.0097624995,-9.625E-4,0.0108624995
-0.25005,-0.61200005,9.721951,0.008525,0.007425,-0.1084875
-0.15405001,-0.62895006,9.21,0.037125,-0.0094875,0.1692625
-0.303,-0.87105006,8.614051,0.0210375,0.0050875,-0.0776875
-0.42495003,-0.36795002,6.675,-0.0925375,0.00385,-0.0276375
-0.14205001,-0.51000005,4.8250504,0.0378125,0.1258125,-0.17655
-0.03195,-0.66300005,5.85405,-0.030524999,-0.0317625,0.1496
-0.58995,-0.19800001,8.125951,-0.108075,-0.1645875,0.38885
-0.04695,-2.12295,13.17405,0.179025,0.1243,0.2270125
0.68505,-1.6489501,14.62695,-0.1109625,0.003575,0.441375
0.27105,-0.76095,14.802001,-0.0292875,-0.2151875,0.3449875
0.37095,-1.4449501,18.59505,0.186725,-0.0906125,-0.3139125
