@ HyperIMU - ianovir
@ Date:Wed Aug 16 09:36:12 GMT+03:00 2023, Sampling Rate:100ms

bma4xy_accelerometer.x,bma4xy_accelerometer.y,bma4xy_accelerometer.z,oem_pseudo_gyro.x,oem_pseudo_gyro.y,oem_pseudo_gyro.z
-0.135,-0.40395,9.82005,-0.0077,9.625E-4,-0.05555
-0.291,-0.31305,9.877951,0.014162499,-0.0248875,0.1093125
-0.19005,-0.27,9.580951,0.0088,0.0111375,-0.012375
-0.51795,-0.18195,10.066951,0.0022,0.0017875,0.0232375
-0.882,-0.15495001,9.880051,0.0534875,0.108899996,0.0237875
-0.98700005,0.058950003,8.590051,0.0787875,0.2545125,-0.2794
-0.58995,-0.28500003,9.082951,0.0801625,0.247225,-0.169675
-1.12395,-0.14595,9.33195,-0.0088,0.0501875,4.125E-4
-0.93000007,-0.97200006,9.528001,0.03795,0.1395625,-0.1027125
-0.882,-0.49305,7.932,-0.3026375,0.1188,-0.058025
0.22095,-0.62205005,9.757951,-0.042625,-0.0468875,-0.516175
0.19695,0.040050004,9.745951,-0.0831875,-0.6985,0.0991375
-0.384,0.48000002,10.58895,0.2077625,-0.3333,-0.74525
0.13695,1.215,10.761001,0.38005,0.1835625,-1.2772375
0.78300005,0.87795,10.516951,0.3903625,-0.0061875,-0.7852625
1.17795,0.85395,9.68595,0.1931875,-0.3111625,0.006875
1.2430501,0.38505003,9.837001,0.1123375,-0.4252875,0.0950125
1.5160501,-0.079050004,10.440001,-0.06325,-0.3933875,0.5435375
1.4290501,0.09,10.93605,-0.11165,-0.2162875,0.71005
1.09395,0.29895002,9.92595,-0.0814,-0.0121,0.039875
-0.12795001,-0.18900001,11.158051,0.094875,0.41525,-0.5506875
-1.3770001,1.9909501,9.36795,-0.083325,0.1612875,0.0842875
1.05795,-0.036000002,10.31595,0.3333,0.2387,-0.4203375
3.45,0.38895002,9.96405,0.1183875,-0.0532125,0.09075
2.6520002,0.22695,10.254001,0.07315,-0.458975,0.0765875
1.5660001,0.71295005,7.9099503,-0.038225,-0.2864125,0.42515
1.5319501,-0.10305001,10.59105,0.088,-0.2204125,0.265925
1.4080501,0.076050006,10.467001,-0.2165625,-0.03795,0.4052125
1.45095,0.094950005,10.345051,-0.1577125,0.041249998,0.0180125
0.93900007,-0.34395,10.323001,-0.1720125,0.1023,-0.1375
1.14495,-0.21495001,9.837001,-0.1912625,0.186725,0.2322375
0.42600003,0.25500003,9.523951,-0.025575,0.0622875,0.2550625
0.49800003,0.186,9.92595,0.1087625,0.2341625,-0.0512875
0.77295005,0.20295002,9.415951,0.0867625,0.1189375,-0.0108624995
0.54795,0.09705,9.612,0.0479875,0.0364375,-0.029424999
0.53895,-0.06705,9.76305,-0.0037125,0.080575,0.1230625
0.44805002,0.078,10.335,-0.0422125,0.0875875,0.16885
0.90495,-0.0019500001,9.708,0.0059125,0.068475,-0.1827375
0.80505,-0.43095002,9.98805,-0.020075,-0.0653125,0.1123375
0.57495004,-0.162,9.62205,-0.144925,-0.0669625,0.1898875
0.56505,-0.23205002,9.5119505,-0.0331375,0.0554125,0.024475
0.49800003,-0.522,10.186951,-0.105325,0.0099,-0.05115
0.57705003,-0.51900005,10.12005,-0.0779625,0.0683375,-0.058025
0.49800003,-0.39000002,9.82005,-0.038775,0.0397375,-0.0356125
0.83295006,-0.12900001,9.106951,-2.75E-4,-0.012925,0.0397375
-1.368,0.70305,10.65795,-0.0088,-0.1868625,0.2481875
-0.087000005,0.43305,10.357051,0.1573,0.17655,-0.365475
1.00995,0.69600004,8.667001,0.1079375,0.0070125,0.0017875
0.62505,0.804,9.459001,0.2256375,-0.1137125,0.3128125
-0.06105,1.19595,8.832001,0.1925,0.033275,0.1115125
1.4290501,0.51600003,8.71695,0.290125,0.077275,-0.286
2.181,0.31305,10.467001,0.336325,-0.194975,0.1538625
2.0040002,0.31305,11.328,-0.1992375,-0.22893749,0.7601
-0.27405003,1.2559501,14.173951,0.12045,0.2448875,-0.3067625
1.6060501,-0.43500003,8.767051,0.08965,-0.0801625,-0.1582625
0.88395005,0.34905002,7.1470504,-0.278025,-0.251075,0.78925
0.08400001,0.021000002,9.021001,-0.0078375,0.1027125,0.2409
-1.7700001,-0.68895006,10.6699505,-0.14135,0.6589,-0.2706
-0.90300006,0.33900002,8.604,-0.1342,0.874775,-0.3488375
-1.0879501,0.40095,8.917951,0.15853749,0.33495,-0.38225
-1.6690501,0.53505003,8.085,0.1397,0.2503875,-0.1189375
-1.6570501,0.49695003,8.932051,-0.009075,0.354475,0.451275
-1.0540501,0.24300002,11.829,-0.33261248,-0.0570625,1.304875
-2.08395,0.99705005,11.10105,-0.2805,-0.2283875,1.054075
-1.0330501,0.16395001,9.981001,0.2044625,0.1511125,-0.10835
-0.78405005,0.31305,8.856,-0.041525,-0.056649998,0.31075
-3.2350502,0.76995003,10.06005,-0.2523125,-0.27885,0.3504875
-1.0999501,-1.1770501,10.81095,0.0468875,0.4530625,-0.77494997
-1.4490001,-0.43800002,8.82495,-0.4602125,-0.076725,0.23705
-1.6500001,-0.47595003,8.025001,-0.2223375,-0.0328625,0.1552375
-2.28195,0.44205,9.801001,-0.0666875,0.0416625,-0.070125
-1.2409501,-1.1179501,14.95005,0.450175,0.1758625,-0.9315625
-1.0690501,-1.48905,10.522051,-0.1753125,-0.377025,0.23045
-1.605,-0.79905003,7.8889503,-0.3862375,-0.1035375,0.451825
-1.11405,-0.80595005,7.7160006,-0.1665125,0.2195875,0.1577125
-1.011,-0.79005,9.28695,-0.001375,-0.008525,-0.2255
-0.36195,-0.648,9.94995,0.1659625,0.061325,-0.75515
0.064950004,-0.37605003,9.430051,0.2330625,-0.1780625,-0.847825
0.75195,-0.75795,8.511001,0.158125,-0.341,-0.4841375
1.9560001,-1.5820501,8.99205,0.0584375,-0.31845,-0.22385
1.4580001,-0.12705001,9.5140505,-0.22275,-0.7000125,0.5918
1.51995,-1.4140501,11.701951,0.1419,-0.4521,-0.13653749
0.98700005,-1.24905,11.74695,-0.13695,-0.1304875,0.137775
0.94605005,-2.14395,11.61795,-0.119075,0.19855,-0.0889625
0.651,-1.3399501,8.632951,-0.2226125,0.207625,-0.142175
0.94095004,-1.62705,9.693001,-0.1992375,0.0160875,0.0691625
0.50100005,-2.049,10.9140005,-0.127875,-0.092675,0.02145
0.60105,-1.36395,9.954,-0.0757625,0.0650375,0.0400125
1.128,-1.6609501,9.066,0.019524999,0.0713625,-0.1439625
1.176,-1.74495,8.86095,-0.0848375,-0.306625,0.2380125
0.120000005,-1.266,10.91895,-0.0331375,-0.0836,0.014162499
0.56295,-0.47595003,11.460001,0.25905,0.3444375,-0.5335
0.9289501,-1.2060001,11.347051,0.419925,0.2366375,-0.539825
-1.2430501,-0.73695004,9.097051,0.0496375,-0.1406625,0.4164875
-1.2889501,0.0139500005,8.937,-0.2261875,0.2481875,0.4365625
-2.6749501,0.0,10.675051,0.1269125,0.5203,-0.078099996
-1.7479501,-0.9670501,9.8230505,0.1925,0.6661875,-0.21285
-1.7389501,-1.3950001,8.65005,-0.234575,0.01925,0.4851
-1.91805,-0.86100006,7.3810506,-0.314325,0.0342375,0.669625
-0.9990001,-1.6489501,9.097051,-0.113575,0.429275,0.6117375
-1.15695,-1.0339501,8.820001,-0.1607375,0.0339625,0.7662875
-3.2320502,0.033,11.350051,0.0922625,0.0721875,0.3716625
-0.92700005,-1.32105,13.687951,0.6413,0.4217125,-0.4533375
-2.5570502,-0.89295006,10.486051,0.2468125,-0.0594,-0.0847
-0.94395006,-1.1220001,7.8529506,-0.089237496,0.160325,0.252175
-2.4469502,0.53295004,7.623,-0.2822875,-0.4439875,0.451825
-3.0220501,-0.17895001,8.499001,0.19415,-0.0284625,-0.4250125
-1.0570501,-1.4140501,11.3209505,-0.0658625,0.2277,-0.0099
-1.15995,-0.76305,9.262951,-0.1859,-0.2539625,0.2066625
-1.26195,-0.33,8.31705,0.0614625,-0.0523875,-0.07425
-0.26700002,-0.59295005,9.0070505,0.23773749,0.1057375,-0.32587498
-1.03695,0.19095,10.864051,-0.0059125,-0.4653,0.186175
-1.488,0.09,12.658951,0.353375,-0.215875,-0.473275
-1.46595,-1.314,11.869051,-0.0911625,-0.1442375,0.1535875
-1.4490001,-1.2420001,10.15995,-0.2547875,0.3392125,-0.01705
0.09105001,-0.74895006,8.253,-0.060225,0.3223,-0.565675
0.46500003,-1.3740001,8.793,0.0088,-0.21615,-0.680075
-0.34305,-0.13605,7.00995,-0.242,-0.4899125,-0.3177625
0.48600003,-0.648,7.0290003,-0.02365,-0.3023625,-0.773575
-0.504,-0.273,8.33205,-0.0094875,-0.2682625,-0.589875
0.81405,-0.072000004,8.305051,0.0699875,-0.0526625,-0.671
1.2,-0.87600005,9.94995,0.1593625,-0.5022875,0.0627
2.016,-0.74700004,11.78295,-0.02035,-0.381425,0.369325
1.1710501,-1.5270001,11.491051,0.026124999,-0.2855875,0.3210625
0.63900006,-1.09395,9.72,-0.1518,0.029975,0.35145
1.1010001,-1.4860501,9.84405,-0.0961125,0.1639,0.2344375
0.38295,-0.45705003,9.250951,-0.0323125,0.0429,0.114675
0.51495004,-0.864,10.146001,0.1111,0.1978625,-0.268125
1.0009501,-0.711,9.13095,0.0837375,0.15675,-0.1749
0.93900007,-0.62895006,9.17205,0.0691625,-0.100375,-0.0039875
1.21905,-0.96195006,9.934951,0.0884125,-0.1007875,0.13035
0.90795004,-1.5870001,12.172951,0.0089375,-0.0506,0.321475
1.4959501,-0.27495003,9.262951,-0.122237496,-0.0484,0.4981625
0.42900002,-0.70605004,10.870951,0.2468125,-0.0713625,0.033825
0.20895001,-0.55995005,7.6780505,0.087175,0.3322,-0.120037496
0.69900006,-1.04805,8.08695,0.034649998,0.3256,0.15675
-1.23405,-0.42600003,7.5730505,-0.13213749,0.06985,0.470525
-1.09305,-1.02705,9.064051,-0.298375,0.3491125,0.504075
-0.90105003,-1.1029501,8.820001,-0.113437496,0.4631,-0.0301125
-2.36805,-0.28695002,8.01795,-0.06215,0.3243625,0.1197625
-2.6220002,-0.12195001,9.816001,0.3609375,0.6567,-0.5330875
-2.016,-0.112050004,11.364,-0.1093125,-0.0768625,0.8336625
-2.0329502,0.11400001,10.849951,0.0264,-0.2330625,0.5262125
-0.45600003,-1.13205,9.28905,0.172975,-0.014712499,-0.0721875
-1.03695,-0.61995006,9.580951,-0.2135375,-0.226325,0.5267625
-1.2859501,-0.49995002,10.057051,0.0061875,-0.0884125,0.0279125
-1.16205,-0.61005,9.492001,-0.0952875,-0.1021625,0.31295
-1.3099501,-0.13605,8.614051,-0.0644875,-0.062975,0.24915
-1.18605,0.13305001,9.591001,0.1398375,0.0290125,-0.1199
-1.14795,-0.093,12.166051,0.2338875,-0.093225,-0.46145
-2.7180002,0.25995,11.515051,0.185625,-0.075625,-0.494725
-2.18205,-1.5700501,10.651051,-0.022,0.4387625,-0.588775
-0.93900007,-0.44295,7.5060005,-0.467775,0.1524875,0.007425
-0.25995,-0.675,8.236051,0.13859999,-0.0396,-1.0602624
0.02205,-0.81405,8.121,0.0430375,-0.3540625,-0.7541875
0.19395001,-0.54495,8.11095,-0.0237875,-0.3257375,-0.635525
1.2930001,-0.60795003,8.832001,0.100099996,-0.22013749,-0.713625
3.2959502,-1.16505,10.854,0.1115125,-0.7029,0.0451
2.6500502,-0.69405,10.58205,0.0556875,-0.9348625,0.55027497
1.8529501,-0.65295005,11.721001,0.1315875,-0.2875125,0.243375
1.0339501,-0.55005,10.866,0.055275,0.0298375,0.2446125
1.01505,-0.10305001,9.468,0.078925,0.270325,-0.059125
0.762,0.066,9.58605,0.1249875,0.2509375,-0.2899875
0.95295006,0.42495003,9.387,0.1150875,0.073699996,-0.28655
