@ HyperIMU - ianovir
@ Date:Tue Aug 15 09:49:34 GMT+03:00 2023, Sampling Rate:100ms

bma4xy_accelerometer.x,bma4xy_accelerometer.y,bma4xy_accelerometer.z,oem_pseudo_gyro.x,oem_pseudo_gyro.y,oem_pseudo_gyro.z
-0.13305001,-0.18195,9.7890005,-0.0155375,-0.0163625,-0.0264
-0.16605,-0.21795002,9.8539505,-0.0050875,0.024475,0.0735625
-0.123,-0.21495001,9.61695,-0.0045375,0.0174625,0.047849998
-0.303,-0.19605,9.86295,-0.0334125,-0.0121,-0.034925
-0.28095,-0.31800002,9.993,-0.0224125,0.0284625,0.07645
-0.16395001,-0.43800002,9.7890005,-0.0342375,0.0407,0.1428625
-0.279,-0.37095,9.70995,-0.0510125,0.028875,-0.17545
-0.44895002,-0.32505003,9.82995,-0.0473,0.02145,0.0493625
-0.18495001,-0.39705002,9.739051,-0.0066,0.036849998,0.146575
-0.24795002,-0.39000002,9.84405,-0.0226875,-0.0457875,0.3663
-0.24795002,-0.28005,9.712951,-0.003025,-0.033825,0.0158125
-0.291,-0.35205,10.12005,0.0517,0.006875,-0.0451
-0.19305001,-0.462,9.81105,0.0196625,0.018424999,-0.2536875
-0.279,-0.37800002,9.67905,-0.037125,-0.0229625,0.31501248
-0.24495001,-0.35595003,9.93,-0.0341,0.0020625,0.01705
-0.50895,-0.31995,10.087951,0.00385,0.0100375,-0.3078625
-0.351,-0.45000002,9.85095,0.0286,0.093775,0.01045
-0.11805001,-0.55305004,9.79395,-0.051425,0.00275,0.3034625
-0.48195,-0.47595003,9.837001,-0.053075,-0.0496375,-0.00825
-0.11100001,-0.342,9.804001,0.0086624995,0.0364375,-0.1357125
0.13695,-0.28905,9.65295,0.039325,-0.1126125,0.036025
-0.022950001,-0.186,9.825001,0.0598125,-0.13695,-0.157025
0.055050004,-0.20595,9.607051,0.0380875,-0.0446875,-0.22715
-0.12105001,-0.186,9.696,-0.003025,-0.0471625,0.026124999
-0.30495003,-0.261,9.86295,-0.0050875,0.0143,-0.295625
