timestamp,time,accX,accY,accZ,gyrX,gyrY,gyrZ
1692594603730,1.799,0.666,-1.074,11.04405,-0.2198625,-0.6543625,0.0097624995
1692594603762,1.831,-1.3800001,-0.273,10.644,-0.1007875,-0.681725,-0.1364
1692594603793,1.862,-2.02605,0.16005,10.713,0.038775,-0.6892875,-0.309925
1692594603829,1.898,-0.28605002,-1.3780501,11.866951,0.2179375,-0.3169375,-0.63827497
1692594603862,1.931,0.30195,-1.218,9.378,0.2971375,-0.0972125,-0.7830625
1692594603891,1.96,0.216,-0.53595,9.550051,0.1744875,-0.08855,-0.5196125
1692594603921,1.99,1.149,-0.69405,9.579,0.044275,-0.229075,-0.2327875
1692594603944,2.013,1.3579501,-1.4770501,11.565001,-0.0361625,-0.3565375,-0.024475
1692594603974,2.043,1.23105,-0.97905004,10.5070505,-0.0422125,-0.5361125,0.14739999
1692594604006,2.075,1.34595,-1.55805,10.321051,-0.0372625,-0.627275,0.2347125
1692594604035,2.104,0.81705004,-0.76605004,10.555051,-0.099275,-0.75295,0.4596625
1692594604071,2.14,1.4080501,-1.00695,10.42395,-0.155925,-0.720775,0.4846875
1692594604094,2.163,0.771,-1.1029501,10.840051,-0.1535875,-0.653125,0.386925
1692594604130,2.199,0.54405004,-1.07895,9.97605,-0.123475,-0.480975,0.166925
1692594604163,2.232,0.771,-1.2709501,10.222051,-0.10615,-0.3862375,0.1247125
1692594604193,2.262,0.75000006,-1.0510501,10.177051,-0.086075,-0.2189,0.1683
1692594604220,2.289,0.606,-0.91905004,10.15095,-0.08635,-0.1683,0.19855
1692594604249,2.318,-0.051000003,-0.58605003,10.321051,-0.059675,-0.1144,0.2369125
1692594604271,2.34,-0.71895003,0.22005,11.005051,-0.0196625,-0.087037496,0.250525
1692594604295,2.364,-0.027,-0.069000006,10.785001,0.034925,-0.0374,0.247225
1692594604322,2.391,0.642,0.076050006,9.75105,0.1056,0.0485375,0.193325
1692594604350,2.419,0.642,0.076050006,9.75105,0.1056,0.0485375,0.193325
1692594604380,2.449,-0.171,0.51600003,9.92595,0.267025,0.2017125,-0.0638
1692594604413,2.482,-0.171,0.51600003,9.92595,0.267025,0.2017125,-0.0638
1692594604440,2.509,-0.171,0.51600003,9.92595,0.267025,0.2017125,-0.0638
1692594604465,2.534,-0.171,0.51600003,9.92595,0.267025,0.2017125,-0.0638
1692594604493,2.562,0.29505002,-0.20295002,11.509951,0.3840375,0.1170125,-0.0418
1692594604528,2.597,0.29505002,-0.20295002,11.509951,0.3840375,0.1170125,-0.0418
1692594604575,2.644,1.2930001,-1.09605,10.524,0.025575,-0.17407499,0.38555
1692594604600,2.669,1.28805,-1.1010001,10.45695,-0.0702625,-0.258775,0.5768125
1692594604627,2.696,0.73005,-0.71505004,9.85095,-0.155375,-0.346775,0.7643625
1692594604662,2.731,-0.36495003,0.26700002,9.150001,-0.203225,-0.3713875,0.8954
1692594604691,2.76,-0.80805004,0.43305,9.9210005,-0.15853749,-0.2855875,0.815375
1692594604715,2.784,-0.76905006,0.13605,10.48305,-0.0741125,-0.1442375,0.6468
1692594604750,2.819,-0.52305,0.34605002,9.8230505,0.13213749,0.1992375,0.2127125
1692594604777,2.846,-0.89100003,0.60705,10.207951,0.2017125,0.34553748,0.058025
1692594604810,2.879,-0.66405004,0.85395,10.033051,0.2915,0.5121875,-0.320375
1692594604838,2.907,-0.47505003,1.251,9.118951,0.3315125,0.5209875,-0.5363875
1692594604866,2.935,-0.47700003,1.24395,10.08405,0.3757875,0.512325,-0.748
1692594604892,2.961,-0.27405003,1.1029501,9.97605,0.45374998,0.3997125,-1.0506375
1692594604924,2.993,0.112950005,0.33195,9.705001,0.5016,0.2369125,-1.1892375
1692594604953,3.022,-0.078,0.076050006,10.254001,0.4736875,0.160325,-1.1055
1692594604976,3.045,-0.50595003,0.081,11.149051,0.3928375,0.085525,-0.90695
1692594605003,3.072,0.192,-0.23205002,10.88805,0.13365,-0.0209,-0.4021875
