@ HyperIMU - ianovir
@ Date:Mon Aug 21 08:30:01 GMT+03:00 2023, Sampling Rate:25ms

timestamp,bma4xy_accelerometer.x,bma4xy_accelerometer.y,bma4xy_accelerometer.z,oem_pseudo_gyro.x,oem_pseudo_gyro.y,oem_pseudo_gyro.z
1692595801807,-0.006,-0.12195001,10.222051,-0.1901625,0.372075,0.885225
1692595801852,-0.43005002,0.094950005,10.203,-0.707575,0.6549125,2.073775
1692595801875,-0.21195,-0.15300001,10.27005,-0.90805,0.726,2.5619
1692595801913,-0.17595,-0.028050002,9.47805,-1.0269876,0.65505,2.7872624
1692595801942,-0.47505003,0.37695003,8.932051,-0.9812,0.59015,2.7203
1692595801975,-0.09195001,0.15195,9.385051,-0.8130375,0.432575,2.3491874
1692595801997,-0.04695,0.028050002,9.72,-0.7019375,0.3579125,2.03885
1692595802020,0.10305001,-0.19605,9.969001,-0.6004625,0.2861375,1.7433625
1692595802046,-0.06105,-0.19395001,9.904051,-0.528825,0.2151875,1.5323
1692595802073,0.43395,-0.66,10.207951,-0.4761625,0.0911625,1.3673
1692595802099,0.44295,-0.60105,10.066951,-0.4706625,0.0451,1.3283875
1692595802133,0.48600003,-0.63195,10.206,-0.4675,0.0028875,1.2661
1692595802157,-0.043950003,-0.040050004,10.002001,-0.4676375,-0.0969375,1.14345
1692595802184,-0.25995,0.13305001,9.909,-0.4566375,-0.1414875,1.1210375
1692595802216,-0.38205,0.25800002,9.76305,-0.3487,-0.141075,0.9400875
1692595802244,-0.123,0.09,9.76305,-0.2539625,-0.0858,0.722425
1692595802273,0.09105001,-0.08595,9.79905,-0.0754875,0.04235,0.2688125
1692595802310,0.08400001,-0.052050002,9.744,-0.0286,0.0677875,0.1777875
1692595802339,0.028950002,-0.021000002,9.5119505,-0.020624999,0.0341,0.19965
1692595802371,-0.079950005,0.03795,9.54705,-0.02915,0.0064625,0.1692625
1692595802398,0.010050001,-0.061950002,9.753,-0.0246125,-0.016775,0.01925
1692595802431,0.039,-0.012,9.828,-0.005225,-0.00385,-0.0686125
1692595802459,0.010050001,0.006,9.847051,-0.001375,4.125E-4,-0.0636625
1692595802487,-0.08205,0.033,9.93795,-5.5E-4,-0.0012375,-0.0364375
1692595802515,-0.12105001,0.042000003,9.90705,0.0022,-0.0050875,-0.0015125
1692595802549,-0.07005,0.069000006,9.79395,0.0045375,0.00385,0.00495
1692595802578,0.01905,-0.112050004,9.636001,0.01045,0.015675,0.022275
1692595802602,0.14400001,-0.20805001,10.057051,0.01485,0.0221375,0.041249998
