@ HyperIMU - ianovir
@ Date:Sun Aug 20 15:04:38 GMT+03:00 2023, Sampling Rate:25ms

timestamp,bma4xy_accelerometer.x,bma4xy_accelerometer.y,bma4xy_accelerometer.z,oem_pseudo_gyro.x,oem_pseudo_gyro.y,oem_pseudo_gyro.z
1692533106323,-0.46305,0.92295,9.19095,-0.0814,0.132825,-0.054449998
1692533106353,-0.06105,0.47805002,9.579,-0.0996875,0.16665,0.0097624995
1692533106383,0.12495001,0.22695,9.94995,-0.091575,0.1595,0.0820875
1692533106413,0.252,0.17205001,9.79605,-0.110275,0.1093125,0.14465
1692533106441,0.273,0.25305,9.430051,-0.2212375,-0.023924999,0.3955875
1692533106471,-0.025050001,0.51405,9.33405,-0.268125,-0.080575,0.48235
1692533106497,-0.051000003,0.64305,9.16695,-0.28545,-0.12595,0.4763
1692533106526,-0.25995,0.61005,9.4470005,-0.22687499,-0.154825,0.2712875
1692533106555,-0.042000003,0.61200005,10.689,-0.168575,-0.1309,0.1755875
1692533106586,0.15105,0.564,10.93095,-0.1111,-0.093225,0.11055
1692533106612,-0.64005005,0.933,9.741,-0.0435875,-0.0389125,0.00165
1692533106642,-0.43905002,0.88695,9.75105,-0.0177375,-0.0155375,-0.0715
1692533106672,0.19695,0.84705,10.182,0.0094875,0.018975,-0.1016125
1692533106701,-0.33600003,1.2079501,9.327001,0.07755,0.073699996,-0.1901625
1692533106729,-0.22605,1.1719501,9.106951,0.098725,0.0523875,-0.2319625
1692533106758,-0.10395,0.98295003,9.62205,0.121275,0.018975,-0.2806375
1692533106787,-0.15900001,0.768,9.96195,0.17325,-0.005225,-0.3157
1692533106817,-0.49905002,0.96405005,9.220051,0.1725625,-0.00495,-0.23155
1692533106844,-0.71895003,1.2270001,8.70705,0.1131625,0.0053625,-0.014162499
1692533106875,-0.34605002,1.11195,9.543,0.092125,0.0268125,0.0031625
1692533106903,-0.17595,1.005,9.892051,0.1183875,0.0968,-0.1236125
1692533106933,-0.40800002,1.53795,8.72595,0.13585,0.1111,-0.1601875
1692533106961,-0.46305,1.66005,8.145,0.136675,0.0972125,-0.1406625
1692533106989,-0.34095,1.6800001,8.98305,0.156475,0.039875,-0.150425
1692533107019,-0.72195005,1.7160001,8.691,0.205425,0.0218625,-0.2635875
1692533107049,-0.86295,1.3090501,8.475,0.3051125,0.013612499,-0.450175
1692533107074,-0.74295,1.16295,10.234051,0.3218875,0.033275,-0.4373875
1692533107106,-0.16395001,1.52205,11.853001,0.2688125,0.10175,-0.3499375
1692533107135,-0.22605,2.5510502,9.670051,0.1887875,0.1164625,-0.3037375
1692533107163,-0.43905002,3.1920002,7.69995,0.098175,0.095699996,-0.250525
1692533107193,-0.51600003,3.3409503,6.531,0.1296625,-0.03575,-0.382525
1692533107222,-0.38205,2.97,7.31895,0.5462875,-0.16005,-0.9757
1692533107249,-0.77205,2.4820502,9.613951,0.759,-0.198825,-1.2123375
1692533107277,-1.1020501,2.22795,9.262951,0.8834375,-0.219175,-1.2865875
1692533107307,-0.73605,1.4950501,6.8980503,0.776875,-0.148225,-0.97295
1692533107343,-1.18605,-0.342,7.5820503,0.4074125,0.033,-0.5581125
1692533107358,-0.43695003,-0.51000005,9.097051,0.18053749,0.1335125,-0.31845
1692533107395,-0.05595,-0.016050002,8.856,-0.1131625,0.24887499,0.0774125
1692533107423,-0.00795,0.04695,6.1050005,-0.782375,0.4049375,1.2892
