timestamp,time,accX,accY,accZ,gyrX,gyrY,gyrZ
1692465924780,1.719,-0.16605,-0.20295002,9.98805,0.053075,-0.0037125,0.1062875
1692465924808,1.747,-0.171,-0.21000001,9.922951,0.041249998,0.005225,0.0479875
1692465924837,1.776,-0.32895002,-0.13605,9.79905,0.00825,0.0226875,-0.0528
1692465924862,1.801,-0.324,-0.07395,9.898951,-0.006325,0.0314875,-0.10285
1692465924890,1.829,-0.13005,-0.25605002,10.000051,-0.0155375,0.0438625,-0.1431375
1692465924918,1.857,-0.027,-0.177,9.62895,-0.0165,0.0697125,-0.1973125
1692465924952,1.891,-0.13305001,-0.09105001,9.849001,-0.021724999,0.0517,-0.205425
1692465924979,1.918,-0.054,-0.081,9.624001,-0.0246125,0.0342375,-0.19813749
1692465925006,1.945,-0.126,-0.064050004,9.519,-0.0210375,0.0199375,-0.193325
1692465925034,1.973,-0.063,-0.13095,9.733951,0.0048125,-0.0037125,-0.2055625
1692465925064,2.003,-0.102000006,-0.093,9.885,0.017324999,-0.014025,-0.2102375
1692465925087,2.026,0.015000001,-0.105000004,9.82005,0.0229625,-0.0213125,-0.18975
1692465925117,2.056,0.036000002,-0.12900001,9.93,0.0149875,-0.02915,-0.080575
1692465925146,2.085,-0.05595,-0.0139500005,9.696,0.009625,-0.0342375,-0.044275
1692465925174,2.113,-0.066,-0.036000002,9.8230505,0.0066,-0.0452375,-0.0669625
1692465925203,2.142,-0.08205,-0.033,9.76305,0.0089375,-0.0441375,-0.0935
1692465925230,2.169,0.031050002,-0.19095,9.95205,0.0127875,-0.037675,-0.113437496
1692465925256,2.195,0.051000003,-0.18195,9.837001,0.0155375,-0.0235125,-0.136125
1692465925285,2.224,-0.039,-0.09105001,9.72,0.0088,-0.02365,-0.099275
1692465925315,2.254,-0.05595,-0.079050004,9.729,-0.011275,-0.0301125,0.0273625
1692465925342,2.281,-0.025050001,-0.060000002,9.61905,-0.012925,-0.0268125,-0.0042625
1692465925371,2.31,-0.034950003,-0.033,9.825001,-0.006325,-0.019524999,-0.110275
1692465925400,2.339,0.0,-0.093,9.769951,0.013475,-0.008525,-0.27981248
1692465925428,2.367,-0.015000001,-0.012,9.74895,0.01815,-0.0066,-0.252175
1692465925455,2.394,-0.066,0.08505,9.495001,0.018975,-0.0078375,-0.0617375
1692465925483,2.422,0.09105001,-0.009000001,9.885,0.0209,-0.0092124995,0.0020625
1692465925513,2.452,0.13905,-0.06705,10.053,0.02805,-0.013062499,-0.037675
1692465925541,2.48,0.14205001,-0.081,9.81795,0.027224999,-0.0204875,-0.066
1692465925569,2.508,-0.0010500001,0.11895001,9.65295,0.021175,-0.032449998,-0.0462
1692465925597,2.536,0.028950002,0.064050004,9.66705,0.013062499,-0.0504625,0.043725
1692465925624,2.563,0.13695,-0.048,9.58605,0.021724999,-0.0462,0.04895
1692465925655,2.594,0.10095,-0.009000001,9.430051,0.0416625,-0.027224999,-0.000275
1692465925681,2.62,0.058050003,-0.03795,9.66495,0.0380875,-0.0251625,-0.0416625
1692465925708,2.647,-0.109050006,0.052050002,9.361051,0.0281875,-0.0268125,-0.0886875
1692465925739,2.678,-0.22800002,0.009000001,9.49695,0.0143,-0.020624999,-0.1274625
1692465925766,2.705,-0.23805001,0.040050004,10.078951,0.014712499,-0.0048125,-0.1120625
1692465925794,2.733,-0.27405003,0.23895001,9.744,0.0182875,0.0207625,-0.091025
1692465925822,2.761,-0.45600003,0.62895006,8.566051,0.0295625,0.075625,-0.044825
1692465925850,2.789,-0.666,0.22005,9.64605,0.049225,0.095975,-0.064899996
1692465925878,2.817,-0.75000006,-0.112050004,10.687051,0.1318625,0.142725,-0.3422375
1692465925906,2.845,-0.72405005,-0.13095,11.161051,0.1500125,0.1750375,-0.48688748
1692465925934,2.873,-0.33900002,-0.036000002,11.059951,0.059125,0.229625,-0.4037
1692465925961,2.9,-0.171,0.38700002,9.916051,-0.0048125,0.230725,-0.27005
1692465925989,2.928,0.012,0.52095,8.911051,-0.0416625,0.20253749,-0.208175
1692465926018,2.957,0.22305001,0.354,9.259951,-0.0001375,0.079475,-0.3917375
1692465926045,2.984,0.07005,0.18795002,9.885,0.057475,0.01045,-0.5385875
1692465926075,3.014,-0.042000003,0.14805001,9.612,0.129525,-0.10395,-0.634975
1692465926102,3.041,0.01695,0.08805001,9.682051,0.12265,-0.135575,-0.566775
1692465926128,3.067,0.06705,-0.057000004,10.242001,0.097625,-0.1412125,-0.4577375
1692465926159,3.098,-0.11595,0.010950001,10.206,0.0350625,-0.1126125,-0.228525
1692465926186,3.125,-0.11100001,0.13095,9.883051,0.0017875,-0.102575,-0.1552375
1692465926216,3.155,0.09105001,0.030000001,9.583051,-0.0438625,-0.0842875,-0.1364
1692465926245,3.184,-0.18300001,0.19305001,9.351001,-0.044825,-0.073699996,-0.160325
1692465926273,3.212,-0.41805002,0.126,9.19995,-0.034375,-0.0672375,-0.1989625
1692465926301,3.24,0.25905,0.08505,11.190001,-0.0015125,-0.0438625,-0.3240875
1692465926330,3.269,-0.043950003,-0.0019500001,10.684051,0.0092124995,-0.013062499,-0.37454998
1692465926358,3.297,0.07005,-0.30405003,10.32495,-0.0050875,0.0320375,-0.37235
1692465926386,3.325,0.036000002,-0.402,10.90005,-0.0253,0.020075,-0.3378375
1692465926414,3.353,0.04605,0.17205001,11.223001,-0.0862125,-0.0268125,-0.2165625
1692465926441,3.38,-0.19995001,0.66495,9.873,-0.1159125,-0.0419375,-0.1524875
1692465926470,3.409,-0.432,0.09,10.88595,-0.1172875,-0.049225,-0.14025
1692465926497,3.436,-0.30495003,-0.37800002,11.541,-0.015262499,-0.021175,-0.2607
1692465926526,3.465,-0.46995002,-1.3780501,10.540951,0.0257125,0.0127875,-0.265375
1692465926560,3.499,-0.0010500001,-1.3980001,10.830001,0.0089375,0.0474375,-0.14575
1692465926591,3.53,0.85200006,-0.76605004,8.98005,-0.3443,0.051425,0.7359
1692465926617,3.556,1.0320001,-0.51195,7.96995,-0.43395,-0.0155375,0.945175
1692465926649,3.588,0.78495,-0.63195,7.9579506,-0.45319998,-0.116875,1.0153
1692465926679,3.618,0.10605001,-0.86100006,8.710051,-0.41085,-0.229075,0.9667625
1692465926713,3.652,0.192,-1.6150501,9.691051,-0.223575,-0.3645125,0.7645
1692465926744,3.683,0.41895002,-1.3620001,10.00905,-0.223575,-0.304425,0.7866375
1692465926775,3.714,0.321,-0.53805,8.712001,-0.25795,-0.22935,0.8226625
1692465926799,3.738,-0.04695,0.13095,7.6090503,-0.2910875,-0.13653749,0.7247625
1692465926836,3.775,0.15105,-0.01905,8.346001,-0.1263625,-0.0611875,0.2429625
1692465926867,3.806,0.039,0.162,9.10005,-0.006875,-0.006325,-0.088
1692465926900,3.839,-0.32205,0.39195,9.765,0.1749,0.075625,-0.6314
1692465926929,3.868,-0.34800002,0.27495003,10.158001,0.2352625,0.1027125,-0.802725
1692465926954,3.893,-0.26205,0.41595003,9.934951,0.2899875,0.1406625,-0.94269997
1692465926980,3.919,-0.33405003,0.40395,9.954,0.368775,0.227975,-1.1930875
1692465927005,3.944,-0.37695003,0.41805002,10.1629505,0.3815625,0.2470875,-1.2846625
1692465927032,3.971,-0.54705,0.19800001,11.08905,0.36795,0.23815,-1.252625
1692465927062,4.001,0.18495001,-0.21000001,12.453001,0.345675,0.22935,-1.134925
1692465927089,4.028,0.13005,0.04695,10.498051,0.3051125,0.21945,-0.97625
1692465927123,4.062,-0.40095,-2.1060002,8.929951,0.157575,0.1458875,-0.54725
1692465927149,4.088,0.69195,-3.183,15.76395,0.069025,0.082775,-0.30525
1692465927175,4.114,0.91695005,-3.4249501,16.89405,-0.0528,0.0341,-0.0070125
1692465927206,4.145,-0.51795,-1.4260501,10.342051,-0.506825,-0.069025,0.9761125
1692465927233,4.172,-3.627,-1.01505,6.6559505,-0.8028625,-0.2756875,1.6020125
1692465927265,4.204,-3.0979502,-1.9549501,11.038951,-0.7557,-0.242825,1.4854125
1692465927294,4.233,-0.19305001,-2.8600502,11.604,-0.5424375,0.3114375,1.1235125
1692465927323,4.262,0.762,-2.298,8.6980505,-0.49101248,0.5922125,1.1407
1692465927350,4.289,0.513,-0.94995004,7.635,-0.506825,0.633325,1.2731125
1692465927384,4.323,-0.027,-0.12195001,7.15605,-0.57255,0.111237496,1.3649625
1692465927416,4.355,-0.087000005,0.22005,5.09805,-0.3172125,-0.2453,0.732875
1692465927438,4.377,0.096,0.32205,5.4540005,-0.0988625,-0.241725,0.286825
1692465927468,4.407,0.18705001,0.094950005,7.0870504,0.1007875,-0.1896125,-0.0704
1692465927496,4.435,-0.19995001,0.066,8.089951,0.3661625,-0.11165,-0.48235
1692465927526,4.465,0.08205,-0.12195001,8.956051,0.44701248,-0.100237496,-0.668525
1692465927553,4.492,0.29505002,-0.165,9.34395,0.5148,-0.0708125,-0.9515
1692465927582,4.521,0.37395,0.141,8.985001,0.499675,-0.0636625,-0.980375
1692465927612,4.551,0.051000003,0.39405003,9.670051,0.4288625,-0.1161875,-0.90749997
1692465927648,4.587,-0.003,-0.01905,10.893001,0.411675,-0.147125,-0.8635
1692465927660,4.599,0.82095003,0.48000002,11.553,0.4103,-0.1549625,-0.8283
1692465927698,4.637,-0.36705002,-2.7520502,9.636001,0.3856875,-0.128975,-0.7836125
1692465927728,4.667,-1.9159501,-4.3699503,17.454,0.31501248,-0.1197625,-0.6941
1692465927757,4.696,-1.65495,-3.9060001,21.13005,0.1225125,-0.087175,-0.3619
1692465927791,4.73,0.08400001,-1.6390501,7.0720506,-0.5878125,0.1117875,0.9805125
1692465927820,4.759,0.47400004,-0.036000002,5.2819505,-0.85855,0.1881,1.4282125
1692465927848,4.787,0.47700003,-2.532,12.11295,-0.7717875,0.1255375,1.2057375
1692465927877,4.816,0.50100005,-3.147,14.46405,-0.52442497,-0.0617375,0.686125
1692465927906,4.845,-0.010950001,-2.697,13.423051,-0.4412375,-0.1472625,0.531025
1692465927935,4.874,-0.657,-1.40505,9.057,-0.4065875,-0.21505,0.4753375
1692465927964,4.903,-0.48900002,-0.29205,6.9960003,-0.363275,-0.206525,0.38775
1692465927993,4.932,0.13395001,-0.20805001,6.7969503,-0.290125,-0.1128875,0.234575
1692465928017,4.956,0.00795,0.31995,6.8280005,-0.039875,0.100375,-0.174625
1692465928047,4.986,-0.25005,0.96195006,8.142,0.10285,0.1412125,-0.3452625
1692465928077,5.016,0.522,0.624,8.679001,0.41195,0.1318625,-0.7096375
1692465928107,5.046,1.0180501,0.11895001,8.62605,0.5801125,0.132275,-0.942975
1692465928137,5.076,-0.252,0.63405,8.65905,0.7577625,0.0031625,-1.065625
1692465928166,5.105,1.044,1.4830501,8.286,0.7305375,-0.122925,-0.8925125
1692465928196,5.135,0.62295,0.64305,10.12905,0.6197125,-0.2063875,-0.5748875
1692465928224,5.163,0.89100003,0.14505,12.750001,0.6039,-0.169675,-0.582175
1692465928255,5.194,0.70395005,0.43695003,11.247001,0.5636125,-0.1607375,-0.6853
1692465928282,5.221,-0.051000003,-1.503,10.179001,0.4901875,-0.1912625,-0.63002497
1692465928313,5.252,0.81900007,-3.2380502,14.799001,0.2479125,-0.19607499,-0.278575
1692465928341,5.28,0.98700005,-2.93895,14.229001,0.0309375,-0.15413749,0.1049125
1692465928370,5.309,-0.50100005,-2.12805,11.785951,-0.254925,-0.1131625,0.6348375
1692465928398,5.337,-1.4110501,-0.84000003,9.44505,-0.68475,-0.0721875,1.4251875
1692465928429,5.368,-2.7940502,-0.62895006,6.8280005,-0.693825,-0.0023375,1.428075
1692465928458,5.397,-1.7770501,-1.299,8.568001,-0.5889125,0.1343375,1.2497375
1692465928490,5.429,0.55305004,-2.7810001,11.92695,-0.29741248,0.5022875,0.8306375
1692465928518,5.457,0.76605004,-1.7230501,8.08695,-0.259325,0.5806625,0.7654625
1692465928547,5.486,0.14595,-0.80895007,6.07695,-0.353375,0.363,0.8441125
1692465928579,5.518,0.55605,0.052050002,4.947,-0.4508625,-0.157575,0.748275
1692465928611,5.55,0.32805002,0.13800001,6.33795,-0.2404875,-0.268125,0.2347125
1692465928637,5.576,0.108,0.279,6.5940003,-0.2404875,-0.268125,0.2347125
1692465928666,5.605,-0.102000006,0.186,7.83405,0.1067,-0.212575,-0.39833748
1692465928695,5.634,0.48900002,-0.26295,10.503,0.3839,-0.095425,-0.862675
1692465928725,5.664,0.51495004,-0.73005,12.87705,0.458425,-0.0345125,-0.9658
1692465928752,5.691,0.18,-0.46905002,11.677951,0.4750625,-0.010725,-0.9464125
1692465928779,5.718,-0.61905,-0.62895006,11.65095,0.361625,-0.0532125,-0.64295
1692465928809,5.748,-0.57795,-0.19395001,14.3230505,0.282425,-0.0507375,-0.5066875
1692465928835,5.774,-0.043950003,0.49500003,13.35795,0.2168375,-0.000825,-0.428725
1692465928866,5.805,-0.82695,-1.197,9.555,0.1601875,0.1739375,-0.39435
1692465928893,5.832,-0.86805004,-2.355,14.959051,0.1332375,0.26427498,-0.322025
1692465928923,5.862,-0.48705003,-2.38905,13.399051,0.04455,0.2773375,-0.1230625
1692465928954,5.893,-0.76500005,-1.4100001,9.61905,-0.2569875,0.253825,0.4686
1692465928982,5.921,-0.882,-1.5289501,8.832001,-0.3634125,0.2140875,0.6139375
1692465929010,5.949,-0.05595,-1.9890001,10.198951,-0.4021875,0.1843875,0.5812125
1692465929041,5.98,0.01695,-2.0029502,9.411,-0.3801875,0.1632125,0.3485625
1692465929070,6.009,-0.42495003,-1.5679501,8.401051,-0.382525,0.1170125,0.3273875
1692465929098,6.037,-0.51795,-0.75600004,7.6470003,-0.4098875,-0.038775,0.447975
1692465929129,6.068,-0.10605001,0.25995,6.1720505,-0.39105,-0.0743875,0.4673625
1692465929157,6.096,0.01695,1.0330501,5.2170005,-0.189475,-0.00715,0.1414875
1692465929184,6.123,0.20400001,1.17495,6.8260503,-0.0020625,0.042075,-0.18727499
1692465929213,6.152,0.71400005,0.64605004,8.401051,0.22055,0.06875,-0.5526125
1692465929242,6.181,0.76605004,-0.021000002,9.66705,0.651475,0.0312125,-1.2505625
1692465929273,6.212,0.54405004,-0.23400001,9.418051,0.776875,-0.169675,-1.47345
1692465929302,6.241,0.64695,-0.112050004,9.556951,0.686125,-0.273625,-1.3231624
1692465929329,6.268,0.73995006,-0.079050004,9.625951,0.55027497,-0.3311,-1.0902375
1692465929358,6.297,0.61095005,-0.79395,10.26105,0.3205125,-0.3361875,-0.5619625
1692465929389,6.328,0.58005005,-1.3980001,12.355051,0.24447499,-0.31955,-0.3161125
1692465929413,6.352,0.46695003,-0.17205001,12.015,0.16445,-0.297,-0.10615
1692465929444,6.383,-1.43505,-2.32605,10.89,-0.0554125,-0.22659999,0.266475
1692465929475,6.414,0.24405001,-4.15005,17.013,-0.2145,-0.0430375,0.5545375
1692465929503,6.442,1.02495,-3.3769503,14.718,-0.3295875,0.096525,0.75955
1692465929532,6.471,0.84495,-1.8880501,11.6320505,-0.51535,0.166925,1.061775
1692465929560,6.499,-2.328,-0.98805004,7.3330503,-0.778525,-0.0075625,1.3304499
1692465929590,6.529,-2.22195,-1.74495,10.455001,-0.71995,-0.0726,1.0825375
1692465929616,6.555,-0.55605,-2.2399502,11.709001,-0.4257,0.1931875,0.4222625
1692465929644,6.583,0.036000002,-1.5820501,9.47295,-0.3147375,0.417725,0.2542375
1692465929675,6.614,-0.058050003,-0.39705002,6.1530004,-0.2358125,0.4802875,0.22893749
1692465929699,6.638,0.27105,0.17895001,4.7629504,-0.2052875,0.335775,0.201575
1692465929732,6.671,0.75000006,0.22395001,5.19105,-0.015125,0.1122,-0.1720125
1692465929760,6.699,0.537,0.049950004,5.9350505,0.1302125,0.0501875,-0.4624125
1692465929788,6.727,0.31395,-0.34695002,6.8640003,0.2668875,-0.022,-0.6947875
1692465929818,6.757,-0.10605001,-1.182,9.069,0.4162125,-0.1830125,-0.7711
1692465929846,6.785,-0.61395,-1.9219501,11.90505,0.4107125,-0.2211,-0.65615
1692465929877,6.816,-0.96300006,-1.4599501,12.8550005,0.21573749,-0.1431375,-0.2363625
1692465929904,6.843,-1.0330501,-0.651,10.80405,0.075075,-0.0356125,-0.0191125
1692465929934,6.873,-1.4320501,0.40605003,9.84,-0.0556875,0.2116125,0.0631125
