@ HyperIMU - ianovir
@ Date:Mon Aug 21 08:10:01 GMT+03:00 2023, Sampling Rate:25ms

timestamp,bma4xy_accelerometer.x,bma4xy_accelerometer.y,bma4xy_accelerometer.z,oem_pseudo_gyro.x,oem_pseudo_gyro.y,oem_pseudo_gyro.z
1692594601931,-0.07005,-0.37995002,10.041,-0.2066625,0.1615625,-0.3221625
1692594601967,-0.09900001,-0.31995,9.94995,-0.559075,0.301675,1.0258875
1692594602000,-0.11400001,-0.32505003,9.885,-0.8382,0.465025,2.591325
1692594602032,-0.058050003,-0.31605002,9.7890005,-1.2104125,0.920425,7.3552876
1692594602058,-0.087000005,-0.34905002,9.703051,-1.2887875,1.1044,9.985525
1692594602081,-0.147,-0.32295,9.80595,-1.292775,1.1521125,11.717338
1692594602110,-0.079950005,-0.39900002,9.753,-1.1254375,0.88989997,11.421575
1692594602133,-0.12105001,-0.36105,9.741,-1.0044374,0.7041375,10.171425
1692594602167,-0.13305001,-0.37800002,9.816001,-0.77275,0.3889875,7.229475
1692594602196,-0.15405001,-0.31800002,9.918,-0.6771875,0.27335,6.1727877
1692594602221,-0.063,-0.342,9.82995,-0.59345,0.184525,4.9691124
1692594602254,-0.06105,-0.29205,9.772051,-0.4437125,0.0721875,3.2014124
1692594602282,-0.12795001,-0.29700002,9.82005,-0.3782625,0.0385,2.5449874
1692594602308,-0.12795001,-0.294,9.772051,-0.322575,0.01375,2.03005
1692594602337,-0.10605001,-0.30600002,9.696,-0.236225,-0.014575,1.34365
1692594602366,-0.11100001,-0.28695002,9.7890005,-0.2022625,-0.02035,1.136575
1692594602393,-0.109050006,-0.24105,9.873,-0.1736625,-0.0235125,1.001275
1692594602424,-0.066,-0.38295,9.87495,-0.1288375,-0.0246125,0.7973625
1692594602455,-0.13305001,-0.31605002,9.84195,-0.092125,-0.0202125,0.5335
1692594602485,-0.13995,-0.20295002,9.691051,-0.07535,-0.018975,0.3375625
1692594602516,-0.09900001,-0.22500001,9.825001,-0.0704,-0.0176,0.3059375
1692594602539,-0.09195001,-0.26295,9.78195,-0.0603625,-0.014162499,0.2996125
1692594602571,-0.11595,-0.31305,9.79905,-0.045649998,-0.0097624995,0.2858625
1692594602606,-0.13305001,-0.23205002,9.945001,-0.01815,-0.0022,0.122099996
1692594602630,-0.094050005,-0.201,9.784051,-0.018424999,0.0012375,0.0474375
1692594602655,-0.058050003,-0.26805001,9.74895,-0.0163625,0.005225,-0.0259875
1692594602684,-0.10605001,-0.26505002,9.753,-0.0105875,0.0070125,-0.073975
1692594602716,-0.15405001,-0.20595,9.83205,-0.003575,0.00165,-0.0391875
1692594602746,-0.12105001,-0.24105,9.76095,-6.875E-4,-0.0039875,0.004675
1692594602775,-0.05595,-0.32295,9.87495,0.002475,-0.0026125,0.0158125
1692594602803,-0.09705,-0.26505002,9.77505,0.0067375,-0.00165,0.0386375
1692594602837,-0.20700002,-0.24900001,9.672001,0.003025,-0.00165,-0.0218625
1692594602863,-0.15195,-0.23700002,9.684,-6.875E-4,-0.0,-0.1062875
1692594602894,-0.16605,-0.246,9.613951,-5.5E-4,0.011825,-0.2030875
1692594602925,-0.22395001,-0.22005,9.8539505,0.0011,0.0174625,-0.1797125
1692594602954,-0.26895002,-0.23205002,9.75105,-8.25E-4,0.0198,-0.048675
1692594602985,-0.33405003,-0.29700002,9.8230505,-0.0017875,0.023375,-0.0182875
1692594603025,-0.40305,-0.28005,9.47805,0.001375,0.042625,-0.0501875
1692594603056,-0.57795,-0.13095,9.58605,-0.0023375,0.070125,-0.069025
1692594603084,-0.726,-0.12195001,9.691051,-0.00495,0.0889625,-0.073699996
1692594603117,-0.96300006,-0.061950002,9.637951,0.0092124995,0.132825,-0.12815
1692594603147,-1.215,0.0019500001,9.049951,0.0427625,0.190575,-0.15235
1692594603174,-1.4989501,0.069000006,9.28905,0.05775,0.2286625,-0.1379125
1692594603203,-1.8060001,0.018000001,9.306001,0.0727375,0.2721125,-0.1522125
1692594603235,-1.3969501,-0.24405001,9.153001,0.1013375,0.379775,-0.2432375
1692594603268,-1.5330001,-0.24900001,8.78205,0.0803,0.452375,-0.13475
1692594603299,-1.5160501,-0.37095,8.841001,0.04235,0.44825,-0.0213125
1692594603330,-1.45905,-0.50505,8.88195,-0.03575,0.3999875,0.1401125
1692594603363,-1.5780001,-0.36105,8.83395,-0.0683375,0.3713875,0.1835625
1692594603397,-1.6170001,-0.21495001,7.9270506,-0.1197625,0.3133625,0.2132625
1692594603426,-1.6360501,-0.41400003,7.0800004,-0.1065625,0.278025,0.114675
1692594603458,-2.5840502,-0.342,7.24695,-0.082775,0.276375,0.043175
1692594603490,-2.538,-0.68205005,8.06595,-0.0587125,0.3388,-0.0803
1692594603514,-2.12205,-0.711,7.458,-0.0628375,0.42267498,-0.13145
1692594603548,-1.6099501,-0.82605004,6.63705,-0.0867625,0.570625,-0.25135
1692594603576,-0.68805003,-1.371,7.9150505,-0.09735,0.563475,-0.33275
1692594603610,-0.72405005,-1.371,9.715051,-0.2041875,0.33605,-0.1879625
1692594603640,-0.051000003,-1.18005,9.19995,-0.34141248,0.114675,0.1280125
1692594603666,-0.52995,-0.60105,9.366,-0.5124625,-0.36905,0.51205
1692594603702,-0.31005,-0.62700003,11.55105,-0.462825,-0.53061247,0.4081
1692594603730,0.666,-1.074,11.04405,-0.2198625,-0.6543625,0.0097624995
1692594603762,-1.3800001,-0.273,10.644,-0.1007875,-0.681725,-0.1364
1692594603793,-2.02605,0.16005,10.713,0.038775,-0.6892875,-0.309925
1692594603829,-0.28605002,-1.3780501,11.866951,0.2179375,-0.3169375,-0.63827497
1692594603862,0.30195,-1.218,9.378,0.2971375,-0.0972125,-0.7830625
1692594603891,0.216,-0.53595,9.550051,0.1744875,-0.08855,-0.5196125
1692594603921,1.149,-0.69405,9.579,0.044275,-0.229075,-0.2327875
1692594603944,1.3579501,-1.4770501,11.565001,-0.0361625,-0.3565375,-0.024475
1692594603974,1.23105,-0.97905004,10.5070505,-0.0422125,-0.5361125,0.14739999
1692594604006,1.34595,-1.55805,10.321051,-0.0372625,-0.627275,0.2347125
1692594604035,0.81705004,-0.76605004,10.555051,-0.099275,-0.75295,0.4596625
1692594604071,1.4080501,-1.00695,10.42395,-0.155925,-0.720775,0.4846875
1692594604094,0.771,-1.1029501,10.840051,-0.1535875,-0.653125,0.386925
1692594604130,0.54405004,-1.07895,9.97605,-0.123475,-0.480975,0.166925
1692594604163,0.771,-1.2709501,10.222051,-0.10615,-0.3862375,0.1247125
1692594604193,0.75000006,-1.0510501,10.177051,-0.086075,-0.2189,0.1683
1692594604220,0.606,-0.91905004,10.15095,-0.08635,-0.1683,0.19855
1692594604249,-0.051000003,-0.58605003,10.321051,-0.059675,-0.1144,0.2369125
1692594604271,-0.71895003,0.22005,11.005051,-0.0196625,-0.087037496,0.250525
1692594604295,-0.027,-0.069000006,10.785001,0.034925,-0.0374,0.247225
1692594604322,0.642,0.076050006,9.75105,0.1056,0.0485375,0.193325
1692594604350,0.642,0.076050006,9.75105,0.1056,0.0485375,0.193325
1692594604380,-0.171,0.51600003,9.92595,0.267025,0.2017125,-0.0638
1692594604413,-0.171,0.51600003,9.92595,0.267025,0.2017125,-0.0638
1692594604440,-0.171,0.51600003,9.92595,0.267025,0.2017125,-0.0638
1692594604465,-0.171,0.51600003,9.92595,0.267025,0.2017125,-0.0638
1692594604493,0.29505002,-0.20295002,11.509951,0.3840375,0.1170125,-0.0418
1692594604528,0.29505002,-0.20295002,11.509951,0.3840375,0.1170125,-0.0418
1692594604575,1.2930001,-1.09605,10.524,0.025575,-0.17407499,0.38555
1692594604600,1.28805,-1.1010001,10.45695,-0.0702625,-0.258775,0.5768125
1692594604627,0.73005,-0.71505004,9.85095,-0.155375,-0.346775,0.7643625
1692594604662,-0.36495003,0.26700002,9.150001,-0.203225,-0.3713875,0.8954
1692594604691,-0.80805004,0.43305,9.9210005,-0.15853749,-0.2855875,0.815375
1692594604715,-0.76905006,0.13605,10.48305,-0.0741125,-0.1442375,0.6468
1692594604750,-0.52305,0.34605002,9.8230505,0.13213749,0.1992375,0.2127125
1692594604777,-0.89100003,0.60705,10.207951,0.2017125,0.34553748,0.058025
1692594604810,-0.66405004,0.85395,10.033051,0.2915,0.5121875,-0.320375
1692594604838,-0.47505003,1.251,9.118951,0.3315125,0.5209875,-0.5363875
1692594604866,-0.47700003,1.24395,10.08405,0.3757875,0.512325,-0.748
1692594604892,-0.27405003,1.1029501,9.97605,0.45374998,0.3997125,-1.0506375
1692594604924,0.112950005,0.33195,9.705001,0.5016,0.2369125,-1.1892375
1692594604953,-0.078,0.076050006,10.254001,0.4736875,0.160325,-1.1055
1692594604976,-0.50595003,0.081,11.149051,0.3928375,0.085525,-0.90695
1692594605003,0.192,-0.23205002,10.88805,0.13365,-0.0209,-0.4021875
1692594605032,0.95100003,-0.246,9.5140505,0.0114124995,-0.03795,-0.177925
1692594605063,0.69705003,-0.064050004,9.777,-0.0853875,-0.054175,0.0253
1692594605093,-0.075,0.17595,10.519051,-0.199375,-0.1736625,0.31239998
1692594605120,0.039,0.09705,10.597951,-0.2123,-0.23815,0.3680875
